i 250 || Epoch 41 || train loss 0.002022 || val loss 0.004409 || DSC 0.845
i 50 || Epoch 42 || train loss 0.001800 || val loss 0.004424 || DSC 0.844
i 100 || Epoch 42 || train loss 0.003005 || val loss 0.004494 || DSC 0.845
i 150 || Epoch 42 || train loss 0.002274 || val loss 0.004472 || DSC 0.845
i 200 || Epoch 42 || train loss 0.001908 || val loss 0.004485 || DSC 0.840
i 250 || Epoch 42 || train loss 0.002584 || val loss 0.004455 || DSC 0.842
i 50 || Epoch 43 || train loss 0.002452 || val loss 0.004423 || DSC 0.845
i 100 || Epoch 43 || train loss 0.002248 || val loss 0.004393 || DSC 0.850
i 150 || Epoch 43 || train loss 0.001708 || val loss 0.004426 || DSC 0.843
i 200 || Epoch 43 || train loss 0.002260 || val loss 0.004497 || DSC 0.842
i 250 || Epoch 43 || train loss 0.002220 || val loss 0.004389 || DSC 0.848
i 50 || Epoch 44 || train loss 0.001806 || val loss 0.004426 || DSC 0.843
i 100 || Epoch 44 || train loss 0.002347 || val loss 0.004441 || DSC 0.847
i 150 || Epoch 44 || train loss 0.002293 || val loss 0.004426 || DSC 0.847
i 200 || Epoch 44 || train loss 0.002790 || val loss 0.004442 || DSC 0.849
i 250 || Epoch 44 || train loss 0.002198 || val loss 0.004432 || DSC 0.842
i 50 || Epoch 45 || train loss 0.002267 || val loss 0.004477 || DSC 0.840
i 100 || Epoch 45 || train loss 0.002247 || val loss 0.004402 || DSC 0.850
i 150 || Epoch 45 || train loss 0.001997 || val loss 0.004397 || DSC 0.848
i 200 || Epoch 45 || train loss 0.002062 || val loss 0.004461 || DSC 0.845
i 250 || Epoch 45 || train loss 0.002247 || val loss 0.004427 || DSC 0.843
i 50 || Epoch 46 || train loss 0.002335 || val loss 0.004402 || DSC 0.844
i 100 || Epoch 46 || train loss 0.002219 || val loss 0.004436 || DSC 0.846
i 150 || Epoch 46 || train loss 0.002063 || val loss 0.004410 || DSC 0.843
i 200 || Epoch 46 || train loss 0.002267 || val loss 0.004408 || DSC 0.843
i 250 || Epoch 46 || train loss 0.002360 || val loss 0.004398 || DSC 0.846
i 50 || Epoch 47 || train loss 0.001927 || val loss 0.004452 || DSC 0.841
i 100 || Epoch 47 || train loss 0.002250 || val loss 0.004459 || DSC 0.845
i 150 || Epoch 47 || train loss 0.002550 || val loss 0.004395 || DSC 0.842
i 200 || Epoch 47 || train loss 0.002392 || val loss 0.004370 || DSC 0.850
i 250 || Epoch 47 || train loss 0.001996 || val loss 0.004399 || DSC 0.845
i 50 || Epoch 48 || train loss 0.002341 || val loss 0.004488 || DSC 0.843
i 100 || Epoch 48 || train loss 0.002264 || val loss 0.004436 || DSC 0.844
i 150 || Epoch 48 || train loss 0.001880 || val loss 0.004422 || DSC 0.843
i 200 || Epoch 48 || train loss 0.002120 || val loss 0.004406 || DSC 0.845
i 250 || Epoch 48 || train loss 0.003094 || val loss 0.004455 || DSC 0.842
i 50 || Epoch 49 || train loss 0.002178 || val loss 0.004442 || DSC 0.842
i 100 || Epoch 49 || train loss 0.002331 || val loss 0.004450 || DSC 0.844
i 150 || Epoch 49 || train loss 0.002050 || val loss 0.004428 || DSC 0.846
i 200 || Epoch 49 || train loss 0.001975 || val loss 0.004448 || DSC 0.844
i 250 || Epoch 49 || train loss 0.002316 || val loss 0.004453 || DSC 0.841
i 50 || Epoch 50 || train loss 0.002276 || val loss 0.004420 || DSC 0.843
i 100 || Epoch 50 || train loss 0.002182 || val loss 0.004491 || DSC 0.842
i 150 || Epoch 50 || train loss 0.002192 || val loss 0.004426 || DSC 0.845
i 200 || Epoch 50 || train loss 0.002276 || val loss 0.004423 || DSC 0.847
i 250 || Epoch 50 || train loss 0.002353 || val loss 0.004414 || DSC 0.845
